"","occurrenceID","braun.blanquet","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"52","2020-07-17T09:37:27Z_EAC_Cole_Harbour_G0060264_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"53","2020-07-17T09:37:37Z_EAC_Cole_Harbour_G0060265_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"54","2020-07-17T09:37:47Z_EAC_Cole_Harbour_G0060266_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"55","2020-07-17T09:37:57Z_EAC_Cole_Harbour_G0060267_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"56","2020-07-17T09:38:07Z_EAC_Cole_Harbour_G0060268_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"57","2020-07-17T09:38:17Z_EAC_Cole_Harbour_G0060269_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"58","2020-07-17T09:38:27Z_EAC_Cole_Harbour_G0060270_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"59","2020-07-17T09:38:37Z_EAC_Cole_Harbour_G0060271_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"60","2020-07-17T09:38:47Z_EAC_Cole_Harbour_G0060272_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"61","2020-07-17T09:38:57Z_EAC_Cole_Harbour_G0060273_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"62","2020-07-17T09:39:07Z_EAC_Cole_Harbour_G0060274_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"63","2020-07-17T09:39:17Z_EAC_Cole_Harbour_G0060275_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"64","2020-07-17T09:39:27Z_EAC_Cole_Harbour_G0060276_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"65","2020-07-17T09:39:37Z_EAC_Cole_Harbour_G0060277_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"66","2020-07-17T09:39:47Z_EAC_Cole_Harbour_G0060278_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
