paddler,location,local.time,latitude,longitude,image.filename,image.quality,est.cam.height,substrate,eelgrass.present,braun.blanquet,rockweed.present,image.coder,notes,checked
Kristina Boerder,Owls Head,10-08-2020 12:08:16,44.70387001,-62.83868627,G0164279.JPG,3,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:08:26,44.70383689,-62.83853227,G0164280.JPG,3,3,mixed,0,0,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:08:36,44.70379959,-62.83837225,G0164281.JPG,3,3,mixed,1,0.5,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:08:46,44.70375496,-62.83817728,G0164282.JPG,3,3,mixed,0,0,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:08:56,44.70371937,-62.83799326,G0164283.JPG,3,3,mixed,1,0.5,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:09:06,44.70370329,-62.83781637,G0164284.JPG,3,3,mixed,1,0.5,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:09:16,44.70366611,-62.83761981,G0164285.JPG,3,3,mixed,0,0,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:09:26,44.70356265,-62.83742596,G0164286.JPG,3,3,mixed,0,0,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:09:36,44.70343428,-62.83724826,G0164287.JPG,3,3,mixed,1,3,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:09:46,44.70330243,-62.83711194,G0164288.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:09:56,44.70321229,-62.83699391,G0164289.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:10:06,44.70310926,-62.83683814,G0164290.JPG,3,3,soft,1,4,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:10:16,44.70301364,-62.83667926,G0164291.JPG,2,3,soft,1,3,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:10:26,44.70293939,-62.83651662,G0164292.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:10:36,44.70289394,-62.8364054,G0164293.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:10:46,44.7027963,-62.83623961,G0164294.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:10:56,44.70268266,-62.83606081,G0164295.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:11:06,44.70257467,-62.83593462,G0164296.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:11:16,44.70250834,-62.83582206,G0164297.JPG,3,3,mixed,1,5,1,JT,assumed mixed substrate since there is some rockweed,Y
Kristina Boerder,Owls Head,10-08-2020 12:11:26,44.70245388,-62.83572154,G0164298.JPG,3,3,mixed,1,4,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:11:36,44.70244276,-62.83567664,G0164299.JPG,3,3,mixed,1,4,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:11:46,44.7024829,-62.835562,G0164300.JPG,3,3,mixed,1,4,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:11:56,44.70253036,-62.83547393,G0164301.JPG,3,3,mixed,1,4,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:12:06,44.70260143,-62.83539299,G0164302.JPG,3,3,mixed,1,4,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:12:16,44.7026939,-62.83534044,G0164303.JPG,3,3,mixed,1,2,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:12:26,44.70272503,-62.83529909,G0164304.JPG,3,3,mixed,1,2,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:12:36,44.70274785,-62.83526738,G0164305.JPG,3,3,mixed,1,2,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:12:46,44.7027645,-62.83522595,G0164306.JPG,3,3,mixed,1,3,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:12:56,44.70277163,-62.83517159,G0164307.JPG,3,3,mixed,1,3,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:13:07,44.70279308,-62.83514047,G0164308.JPG,2,3,mixed,1,2,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:13:26,44.70283592,-62.8350616,G0164310.JPG,3,3,mixed,1,4,1,JT,several spp of macroalgae,Y
Kristina Boerder,Owls Head,10-08-2020 12:13:36,44.70288718,-62.83495322,G0164311.JPG,3,3,mixed,1,5,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:13:46,44.70288644,-62.83502029,G0164312.JPG,3,3,mixed,1,3,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:13:56,44.70290355,-62.83496876,G0164313.JPG,3,3,mixed,1,4,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:14:06,44.7030037,-62.8348853,G0164314.JPG,3,3,mixed,1,2,1,JT,possible reproductive shoots?,Y
Kristina Boerder,Owls Head,10-08-2020 12:14:16,44.70310027,-62.83476395,G0164315.JPG,3,3,mixed,1,2,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:14:26,44.70317884,-62.83463771,G0164316.JPG,3,3,mixed,1,5,NA,JT,unsure about rockweed,Y
Kristina Boerder,Owls Head,10-08-2020 12:14:36,44.70322362,-62.83444941,G0164317.JPG,2,3,mixed,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:14:46,44.70327787,-62.83425926,G0164318.JPG,2,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:14:56,44.70333527,-62.8340964,G0164319.JPG,1,3,mixed,NA,NA,NA,JT,too deep/not clear enough to confidently ID cover type,Y
Kristina Boerder,Owls Head,10-08-2020 12:15:06,44.70339591,-62.83392355,G0164320.JPG,1,3,soft,1,NA,NA,JT,could be some algae cover top right but looks very fine,Y
Kristina Boerder,Owls Head,10-08-2020 12:15:16,44.70349622,-62.8337522,G0164321.JPG,1,3,soft,1,NA,NA,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:15:26,44.70357672,-62.83357059,G0164322.JPG,2,3,soft,1,1,0,JT,could be some hard substrate in top right ,Y
Kristina Boerder,Owls Head,10-08-2020 12:15:36,44.70367012,-62.8334038,G0164323.JPG,2,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:15:46,44.70376453,-62.83324293,G0164324.JPG,2,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:15:56,44.70386531,-62.83306463,G0164325.JPG,1,3,soft,NA,NA,NA,JT,likely some eelgrass but not clear enough to be confident,Y
Kristina Boerder,Owls Head,10-08-2020 12:16:06,44.70394707,-62.83288405,G0164326.JPG,1,3,soft,NA,NA,NA,JT,possibly very small patch of eelgrass but can't be confident,Y
Kristina Boerder,Owls Head,10-08-2020 12:16:16,44.70400982,-62.83273038,G0164327.JPG,2,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:16:26,44.70408146,-62.83258419,G0164328.JPG,1,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:16:36,44.70418,-62.83241113,G0164329.JPG,2,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:16:46,44.70426347,-62.83223138,G0164330.JPG,2,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:16:56,44.70434192,-62.83205445,G0164331.JPG,2,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:17:06,44.70442217,-62.83187923,G0164332.JPG,2,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:17:16,44.70451394,-62.8317265,G0164333.JPG,2,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:17:26,44.70458504,-62.83157217,G0164334.JPG,2,3,soft,1,0.5,0,PS,tiny solitary eelgrass shoots,Y
Kristina Boerder,Owls Head,10-08-2020 12:17:36,44.7046409,-62.83144856,G0164335.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:17:46,44.70467409,-62.83137645,G0164336.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:17:56,44.70469313,-62.83129392,G0164337.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:18:06,44.70476831,-62.83115279,G0164338.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:18:16,44.70487838,-62.83100111,G0164339.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:18:26,44.70496344,-62.83084475,G0164340.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:18:36,44.70506641,-62.83069617,G0164341.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:18:46,44.70515672,-62.83050235,G0164342.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:18:56,44.70525841,-62.83036456,G0164343.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:19:06,44.70535542,-62.83021884,G0164344.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:19:16,44.70544333,-62.83008462,G0164345.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:19:26,44.70554604,-62.82992111,G0164346.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:19:36,44.70565335,-62.82974009,G0164347.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:19:46,44.70575171,-62.8295865,G0164348.JPG,2,3,soft,1,0.5,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:19:56,44.70586321,-62.8294401,G0164349.JPG,2,3,soft,1,1,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:20:08,44.706015,-62.82928354,G0164350.JPG,2,3,soft,1,1,0,PS,actual time 12:20:06,Y
Kristina Boerder,Owls Head,10-08-2020 12:20:16,44.70610118,-62.8292264,G0164351.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:20:26,44.70623988,-62.82914887,G0164352.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:20:36,44.70637764,-62.82907432,G0164353.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:20:46,44.70652166,-62.82899109,G0164354.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:20:56,44.70665758,-62.82894066,G0164355.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:21:06,44.70675436,-62.82890343,G0164356.JPG,2,3,mixed,1,1,1,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:21:16,44.70682132,-62.82888637,G0164357.JPG,3,2,rock,0,0,1,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:21:26,44.70693456,-62.82879155,G0164358.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:21:36,44.70701714,-62.82859291,G0164359.JPG,2,3,soft,1,2,0,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:21:46,44.70708262,-62.82842997,G0164360.JPG,2,3,mixed,1,1,1,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:21:56,44.70713669,-62.82828908,G0164361.JPG,2,2,mixed,1,1,1,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:22:06,44.70719832,-62.82812886,G0164362.JPG,3,3,mixed,1,2,1,PS,,Y
Kristina Boerder,Owls Head,10-08-2020 12:22:16,44.70724058,-62.82793539,G0164363.JPG,2,3,mixed,1,3,1,PS,,Y
